year;facility_number;facility_name;begin_date;end_date;county_name;type_of_control;hours_type;productive_hours;productive_hours_per_adjusted_patient_day
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Clerical & Other Administrative;0;0
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Environmental & Food Services;0;0
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Other;3954571;45.54
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Contracted Registry Nursing;53097;0.61
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Contracted Other;527;0.01
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Daily Cost Centers;2402187;27.66
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Ambulatory Cost Centers;167205;1.93
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Ancillary Cost Centers;928902;10.7
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Education Cost Centers;193513;2.23
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;General Services Cost Centers;1623168;18.69
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Fiscal Services Cost Centers;0;0
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Administrative Services Cost Centers;1207209;13.9
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Management & Supervision;0;0
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Technician & Specialist;0;0
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Registered Nurse;1674237;26.39
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Licensed Vocational Nurse;33999;0.54
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Aides & Orderlies;150828;2.38
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Clerical & Other Administrative;0;0
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Environmental & Food Services;0;0
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Other;2809499;44.29
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Contracted Registry Nursing;6065;0.1
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Contracted Other;729;0.01
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Daily Cost Centers;1723678;27.17
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Ambulatory Cost Centers;155908;2.46
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Ancillary Cost Centers;653749;10.31
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Education Cost Centers;6157;0.1
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;General Services Cost Centers;908161;14.32
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Fiscal Services Cost Centers;0;0
